"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "XML", "JSON", "comment", "blank", "total"
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\users\hooks\useUsers.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 6, 61
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\users\services\userService.ts", "TypeScript", 109, 0, 0, 0, 0, 0, 9, 118
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\users\types\types.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\WarrantyProvidersPage.tsx", "TypeScript JSX", 0, 0, 70, 0, 0, 0, 8, 78
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\components\AddWarrantyProviderModal.tsx", "TypeScript JSX", 0, 0, 536, 0, 0, 0, 19, 555
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\components\StatusMessage.tsx", "TypeScript JSX", 0, 0, 57, 0, 0, 0, 6, 63
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\components\WarrantyProviderModal.tsx", "TypeScript JSX", 0, 0, 563, 0, 0, 1, 26, 590
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\components\WarrantyProvidersTable.tsx", "TypeScript JSX", 0, 0, 133, 0, 0, 2, 6, 141
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\hooks\useProviders.ts", "TypeScript", 80, 0, 0, 0, 0, 2, 7, 89
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\hooks\useWarrantyProviderState.ts", "TypeScript", 160, 0, 0, 0, 0, 0, 11, 171
"c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\services\warrantyProviderService.ts", "TypeScript", 133, 0, 0, 0, 0, 0, 10, 143
